"station","hour","output","input","net","lon","lat","type","loctype","address","north","south","east","west","postal_code","country","administrative_area_level_2","administrative_area_level_1","locality","street","streetNo","point_of_interest","query"
"10th & Monroe St NE","18",1,1,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","06",1,0,-1,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","03",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","11",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","19",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","12",1,0,-1,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","00",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","23",0,1,1,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th & Monroe St NE","15",1,0,0,-77.02766,38.932891,"intersection","approximate","monroe street northwest & 10th street northwest, washington, dc 20010, usa",38.9342399802915,38.9315420197085,-77.0263110197085,-77.0290089802915,"20010","united states",,"district of columbia","washington","monroe street northwest",,,"10th+and+Monroe+St+NE,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","23",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","16",5,5,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","09",1,7,6,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","05",0,1,1,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","12",2,5,3,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","04",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","15",4,4,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","19",1,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","11",1,4,3,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","03",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","18",5,1,-4,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","08",2,6,4,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","06",0,2,2,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","10",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","02",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","17",1,3,2,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","14",1,0,-1,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","01",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
"10th St & Constitution Ave NW","22",0,1,0,-77.0259613,38.8921037,"intersection","approximate","constitution avenue northwest & 10th street northwest, washington, dc 20530, usa",38.8934526802915,38.8907547197085,-77.0246123197085,-77.0273102802915,"20530","united states",,"district of columbia","washington","constitution avenue northwest",,,"10th+St+and+Constitution+Ave+NW,+Washington,+District+of+Columbia,+USA."
