"Duration","Start.date","End.date","Start.Station","End.Station","Bike.","Subscription.Type","newDate","count","monthYear"
"0h 29m 14s","12/15/2012 12:59","12/15/2012 13:28","Thomas Circle","11th & Kenyon St NW","W20106","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 10m 15s","12/15/2012 12:58","12/15/2012 13:08","Massachusetts Ave & Dupont Circle NW","16th & Harvard St NW","W20109","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 6m 19s","12/15/2012 12:58","12/15/2012 13:04","20th & L St NW","17th & Corcoran St NW","W01408","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 14m 39s","12/15/2012 12:58","12/15/2012 13:13","Van Ness Metro / UDC","New Hampshire Ave & T St NW [formerly 16th & U St NW]","W01303","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 3m 38s","12/15/2012 12:58","12/15/2012 13:02","4th & East Capitol St NE","Eastern Market / 7th & North Carolina Ave SE","W20877","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 6m 21s","12/15/2012 12:58","12/15/2012 13:04","17th & Corcoran St NW","18th & M St NW","W00330","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 7m 42s","12/15/2012 12:58","12/15/2012 13:06","Key Blvd & N Quinn St","Wilson Blvd & N Edgewood St","W00247","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"3h 0m 29s","12/15/2012 12:59","12/15/2012 16:00","8th & H St NW","8th & H St NW","W00279","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 11m 16s","12/15/2012 12:58","12/15/2012 13:09","Columbus Circle / Union Station","14th & D St SE","W20087","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 29m 40s","12/15/2012 12:58","12/15/2012 13:28","Thomas Circle","11th & Kenyon St NW","W01431","Casual",2012-12-15 12:00:00,1,"2012-12"
"0h 4m 42s","12/15/2012 12:58","12/15/2012 13:02","Georgia & New Hampshire Ave NW","11th & Kenyon St NW","W00738","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 3m 44s","12/15/2012 12:57","12/15/2012 13:01","Columbus Circle / Union Station","6th & H St NE","W20161","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 11m 32s","12/15/2012 12:57","12/15/2012 13:09","Jefferson Dr & 14th St SW","Thomas Circle","W20115","Subscriber",2012-12-15 12:00:00,1,"2012-12"
"0h 12m 28s","12/15/2012 12:57","12/15/2012 13:10","5th & F St NW","7th & Water St SW / SW Waterfront","W01240","Subscriber",2012-12-15 12:00:00,1,"2012-12"
